dish,cost_per_serving,calories,carbohydrates,protein,fat,sodium,fiber,opt_servings_sum,opt_servings_0,opt_servings_1,opt_servings_2,opt_servings_3,opt_servings_4,opt_servings_5,opt_servings_6
lemon coconut bars,0.16,232.56,35.22,3.19,9.3,102.77,0.57,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
homemade gingersnap granola,0.32,210.43,31.24,5.19,8.96,22.59,4.21,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
tuna and red pepper pasta,0.69,345.72,57.67,14.77,5.95,204.42,2.68,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
chocolate coconut granola,0.38,384.2,54.55,8.08,18.13,153.95,7.45,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
sweet molasses dinner rolls,0.16,155.28,31.14,4.03,1.93,115.57,1.92,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
easy homemade naan,0.22,250.81,37.23,6.36,8.18,161.29,1.54,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
apple pie overnight oats,0.57,306.0,40.0,9.0,14.0,35.0,5.0,2.921491834610066,0.0,0.0,0.0,0.0,0.0,0.0,2.921491834610066
no sugar added banana nut granola,0.45,341.84,42.08,8.78,16.88,101.38,7.25,2.8565507620735002,0.0,0.0,0.0,0.0,0.0,2.8565507620735002,0.0
lemon bars,0.42,349.0,61.0,5.0,10.0,157.0,1.0,2.80998518072004,0.0,0.0,0.0,0.0,0.0,2.80998518072004,0.0
chicken enchilada pasta,0.91,511.8,48.25,28.82,22.17,400.05,2.57,2.643356779992184,0.0,0.0,2.643356779992184,0.0,0.0,0.0,0.0
coconut lentils,0.76,315.92,48.8,18.0,6.2,202.07,8.17,2.619408095464864,2.619408095464864,0.0,0.0,0.0,0.0,0.0,0.0
raspberry oatmeal bars,0.32,325.0,55.0,3.0,11.0,168.0,2.0,2.459379511530354,0.0,0.0,0.0,2.459379511530354,0.0,0.0,0.0
pumpkin spice granola,0.64,523.83,83.64,11.84,17.9,179.2,9.14,2.286824957124859,0.0,2.286824957124859,0.0,0.0,0.0,0.0,0.0
banana pudding,1.23,761.0,113.0,12.0,31.0,434.0,3.0,2.1209533484155876,0.0,0.0,0.0,0.0,2.1209533484155876,0.0,0.0
homemade chicken piccata,1.45,448.63,14.45,53.08,18.28,436.05,1.23,1.2032697514203932,0.0,0.0,0.0,0.0,0.0,1.2032697514203932,0.0
vegetarian 15 bean soup,0.71,296.0,50.0,17.0,4.0,55.0,16.0,1.1990247262189069,0.0,0.0,0.0,0.0,1.1990247262189069,0.0,0.0
slow cooker 5 spice pulled pork,0.87,410.23,8.21,48.75,18.86,437.96,0.08,1.1726182456059802,0.0,0.0,0.0,0.0,1.1726182456059802,0.0,0.0
balsamic chicken thighs,1.04,431.1,10.35,61.78,13.93,409.13,0.13,1.1554202244319995,0.0,0.0,0.0,1.1554202244319995,0.0,0.0,0.0
homemade grilled chicken shawarma wrap,2.0,894.98,98.63,64.18,27.65,1009.68,11.03,0.8978898954270708,0.0,0.0,0.0,0.0,0.0,0.0,0.8978898954270708
thai peanut chicken,1.29,720.4,15.68,86.2,35.23,876.68,3.9,0.7697678945202051,0.0,0.7697678945202051,0.0,0.0,0.0,0.0,0.0
honey spice chicken thighs,0.64,1039.0,14.49,21.88,99.7,439.69,0.48,0.5633460967090858,0.5633460967090858,0.0,0.0,0.0,0.0,0.0,0.0
